corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
00136572,신양금속공업,"SHINYANG METAL IND. CO.,LTD",24222,20230215,20260402,연결감사보고서 (2025.12),20260402001970,218104553881.0
01667185,로바메탈스코리아,ROBA METALS KOREA LTD,46105,20220602,20240412,감사보고서 (2023.12),20240412003426,155728081896.0
00249645,계양정밀,"KEY YANG PRECISION CO., LTD.",30,20230222,20260330,감사보고서 (2025.12),20260330001232,154073540018.0
01477157,메탈다인코리아,"Metaldyne Korea Ltd.,",30310,20260306,20260409,감사보고서 (2025.12),20260409001514,153057179930.0
01586358,우즈오토코리아,Uzauto Korea,46109,20260206,20260409,감사보고서 (2025.12),20260409000493,129827510812.0
00875185,커민스필터,Cummins Filtration Co.Ltd,30,20230222,20260402,감사보고서 (2025.12),20260402002245,87475501642.0
00484831,동산공업,DongSan Inc.,30,20230215,20260420,[기재정정]연결감사보고서 (2025.12),20260420000420,83165702249.0
01582316,일신캐스팅,"IL SHIN Casting Co., Ltd.",303,20220228,20260413,감사보고서 (2025.12),20260413000826,59207906972.0
00928201,한국캐스팅,HAN KOOK CASTING CORP.,24321,20240226,20260401,감사보고서 (2025.12),20260401001546,53967587759.0
01780653,그린메탈,"GreenMetal Co.,Ltd.",46791,20230811,20240402,감사보고서 (2023.12),20240402002267,52095234010.0
00462440,동일기계공업,"DONG IL MACHINERY CO., LTD.",30391,20220228,20260410,감사보고서 (2025.12),20260410000844,46468820345.0
00446868,타타대우모빌리티,"Tata Daewoo Mobility Co., Ltd.",30123,20250508,20250611,연결감사보고서 (2025.03),20250611000172,45666715177.0
01594940,디지공업,"DG Industrial Co.,Ltd.",24290,20211231,20240412,감사보고서 (2023.12),20240412001077,44242701978.0
01701425,코아오토모티브,KOA AUTOMOTIV,30332,20230228,20260403,감사보고서 (2025.12),20260403002857,42506456803.0
00921970,에이취알메탈,hrmetal,46800,20230215,20260312,감사보고서 (2025.12),20260312000179,38218671446.0
00872489,의신정밀,Uey shin Precision.co,25913,20240227,20260402,감사보고서 (2025.12),20260402003697,38118064964.0
01460412,케이시시정공,"KCC Co., Ltd.",29120,20230209,20260410,감사보고서 (2025.12),20260410003432,35756197049.0
01101768,대진정밀,"DAE JIN PRECISION INDUSTRIAL CO.,LTD.",30,20220225,20260511,감사보고서 (2025.12),20260511000028,30898301158.0
01920729,유림공업,"YURIM INDUSTRIAL CO.,LTD",29111,20250513,20260408,감사보고서 (2025.12),20260408002387,30589178129.0
